,,,,,,,Population,Population,Population,Population in 2015 (readjusted),Population change number for 5 years,Population change rate for 5 years,Sex ratio,Area (reference),Population density,Number of households,Number of households,Number of households,Number of households in 2015 (readjusted),Number of households change number for 5 years,Number of households change rate for 5 years,Household members,Household members,Household members
,,,,,,,Sex,Sex,Sex,,,,,,,Type of household,Type of household,Type of household,,,,Type of household,Type of household,Type of household
,,,,,,,1,1,1,,,,,,,1,1,1,,,,1,1,1
,,,,,,,0_Total,1_Male,2_Female,,,,,,,0_Total,1_Private households,2_Institutional households,,,,0_Total,1_Private households,2_Institutional households
,,,,,,,(people),(people),(people),(people),(people),(%),,(km2),(per km2),(households),(households),(households),(households),(households),(%),(people),(people),(people)
Identification Area codes,Prefectures(2000),Area codes (2000),Areas in 2000,Prefectures (2020),Area codes (2020),Areas, ,,,,,,,,,,,,,,,,,
2,29_Nara-ken,29212,,29_Nara-ken,29212,2614_Uda-shi,"28,121","13,374","14,747","31,105","-2,984",-9.59331,90.68963,247.50,113.6,"10,852","10,812",40,"11,155",-303,-2.71627,"28,121","27,285",836
9,29_Nara-ken,29381,2000,29_Nara-ken,29212,2615_(Municipalities as of 2000) Ouda-cho,"5,823","2,749","3,074","6,616",-793,-11.98609,89.42746,47.44,122.7,"2,222","2,218",4,"2,343",-121,-5.16432,"5,823","5,729",94
9,29_Nara-ken,29382,2000,29_Nara-ken,29212,2616_(Municipalities as of 2000) Utano-cho,"3,276","1,582","1,694","3,773",-497,-13.17254,93.38843,27.78,117.9,"1,235","1,219",16,"1,312",-77,-5.86890,"3,276","3,186",90
9,29_Nara-ken,29383,2000,29_Nara-ken,29212,2617_(Municipalities as of 2000) Haibara-cho,"15,090","7,211","7,879","16,228","-1,138",-7.01257,91.52177,64.41,234.3,"5,836","5,821",15,"5,855",-19,-0.32451,"15,090","14,568",522
9,29_Nara-ken,29384,2000,29_Nara-ken,29212,2618_(Municipalities as of 2000) Muro-mura,"3,932","1,832","2,100","4,488",-556,-12.38859,87.23810,107.99,36.4,"1,559","1,554",5,"1,645",-86,-5.22796,"3,932","3,802",130
3,29_Nara-ken,29322,2000,29_Nara-ken,29322,2619_Yamazoe-mura,"3,226","1,543","1,683","3,674",-448,-12.19379,91.68152,66.52,48.5,"1,110","1,101",9,"1,144",-34,-2.97203,"3,226","3,127",99
3,29_Nara-ken,29342,2000,29_Nara-ken,29342,2620_Heguri-cho,"18,009","8,446","9,563","18,883",-874,-4.62850,88.31956,23.90,753.5,"7,173","7,164",9,"7,158",15,0.20956,"18,009","17,747",262
3,29_Nara-ken,29343,2000,29_Nara-ken,29343,2621_Sango-cho,"23,219","10,877","12,342","23,571",-352,-1.49336,88.12996,8.79,"2,641.5","9,494","9,463",31,"9,155",339,3.70289,"23,219","21,979","1,240"
3,29_Nara-ken,29344,2000,29_Nara-ken,29344,2622_Ikaruga-cho,"27,587","12,979","14,608","27,303",284,1.04018,88.84858,14.27,"1,933.2","10,902","10,891",11,"10,330",572,5.53727,"27,587","27,279",308
3,29_Nara-ken,29345,2000,29_Nara-ken,29345,2623_Ando-cho,"7,225","3,387","3,838","7,443",-218,-2.92893,88.24909,4.31,"1,676.3","3,068","3,064",4,"2,875",193,6.71304,"7,225","6,998",227
3,29_Nara-ken,29361,2000,29_Nara-ken,29361,2624_Kawanishi-cho,"8,167","3,944","4,223","8,485",-318,-3.74779,93.39332,5.93,"1,377.2","3,206","3,204",2,"3,248",-42,-1.29310,"8,167","8,115",52
3,29_Nara-ken,29362,2000,29_Nara-ken,29362,2625_Miyake-cho,"6,439","3,049","3,390","6,836",-397,-5.80749,89.94100,4.06,"1,586.0","2,645","2,639",6,"2,629",16,0.60860,"6,439","6,410",29
3,29_Nara-ken,29363,2000,29_Nara-ken,29363,2626_Tawaramoto-cho,"31,177","14,870","16,307","31,691",-514,-1.62191,91.18783,21.09,"1,478.3","11,905","11,879",26,"11,463",442,3.85588,"31,177","30,550",627
3,29_Nara-ken,29385,2000,29_Nara-ken,29385,2627_Soni-mura,"1,295",595,700,"1,549",-254,-16.39768,85.00000,47.76,27.1,593,592,1,622,-29,-4.66238,"1,295","1,269",26
3,29_Nara-ken,29386,2000,29_Nara-ken,29386,2628_Mitsue-mura,"1,479",694,785,"1,759",-280,-15.91814,88.40764,79.58,18.6,705,700,5,748,-43,-5.74866,"1,479","1,391",88
3,29_Nara-ken,29401,2000,29_Nara-ken,29401,2629_Takatori-cho,"6,729","3,139","3,590","7,195",-466,-6.47672,87.43733,25.79,260.9,"2,320","2,303",17,"2,396",-76,-3.17195,"6,729","6,069",660
3,29_Nara-ken,29402,2000,29_Nara-ken,29402,2630_Asuka-mura,"5,179","2,439","2,740","5,523",-344,-6.22850,89.01460,24.10,214.9,"1,786","1,776",10,"1,779",7,0.39348,"5,179","4,951",228
3,29_Nara-ken,29424,2000,29_Nara-ken,29424,2631_Kanmaki-cho,"21,714","10,117","11,597","22,054",-340,-1.54167,87.23808,6.14,"3,536.5","8,558","8,534",24,"8,085",473,5.85034,"21,714","20,540","1,174"
3,29_Nara-ken,29425,2000,29_Nara-ken,29425,2632_Oji-cho,"24,043","11,375","12,668","23,025","1,018",4.42128,89.79318,7.01,"3,429.8","10,031","10,025",6,"9,347",684,7.31786,"24,043","23,885",158
3,29_Nara-ken,29426,2000,29_Nara-ken,29426,2633_Koryo-cho,"33,810","16,045","17,765","33,487",323,0.96455,90.31804,16.30,"2,074.2","11,921","11,913",8,"11,012",909,8.25463,"33,810","33,437",373
3,29_Nara-ken,29427,2000,29_Nara-ken,29427,2634_Kawai-cho,"17,018","7,918","9,100","17,941",-923,-5.14464,87.01099,8.23,"2,067.8","6,792","6,771",21,"6,712",80,1.19190,"17,018","16,467",551
3,29_Nara-ken,29441,2000,29_Nara-ken,29441,2635_Yoshino-cho,"6,229","2,840","3,389","7,399","-1,170",-15.81295,83.80053,95.65,65.1,"2,659","2,656",3,"2,946",-287,-9.74202,"6,229","6,051",178
3,29_Nara-ken,29442,2000,29_Nara-ken,29442,2636_Oyodo-cho,"16,728","7,936","8,792","18,069","-1,341",-7.42155,90.26388,38.10,439.1,"6,509","6,498",11,"6,509",0,0.00000,"16,728","16,105",623
3,29_Nara-ken,29443,2000,29_Nara-ken,29443,2637_Shimoichi-cho,"5,037","2,356","2,681","5,664",-627,-11.06992,87.87766,61.99,81.3,"2,139","2,137",2,"2,232",-93,-4.16667,"5,037","4,950",87
3,29_Nara-ken,29444,2000,29_Nara-ken,29444,2638_Kurotaki-mura,623,296,327,660,-37,-5.60606,90.51988,47.70,13.1,307,307,-,311,-4,-1.28617,623,623,-
3,29_Nara-ken,29446,2000,29_Nara-ken,29446,2639_Tenkawa-mura,"1,176",567,609,"1,354",-178,-13.14623,93.10345,175.66,6.7,561,561,-,628,-67,-10.66879,"1,176","1,176",-
3,29_Nara-ken,29447,2000,29_Nara-ken,29447,2640_Nosegawa-mura,357,176,181,449,-92,-20.48998,97.23757,154.90,2.3,204,203,1,227,-23,-10.13216,357,354,3
3,29_Nara-ken,29449,2000,29_Nara-ken,29449,2641_Totsukawa-mura,"3,061","1,663","1,398","3,508",-447,-12.74230,118.95565,672.38,4.6,"1,410","1,403",7,"1,578",-168,-10.64639,"3,061","2,755",306
3,29_Nara-ken,29450,2000,29_Nara-ken,29450,2642_Shimokitayama-mura,753,361,392,895,-142,-15.86592,92.09184,133.39,5.6,447,446,1,517,-70,-13.53965,753,740,13
3,29_Nara-ken,29451,2000,29_Nara-ken,29451,2643_Kamikitayama-mura,444,227,217,512,-68,-13.28125,104.60829,274.22,1.6,265,265,-,270,-5,-1.85185,444,444,-
3,29_Nara-ken,29452,2000,29_Nara-ken,29452,2644_Kawakami-mura,"1,156",554,602,"1,313",-157,-11.95735,92.02658,269.26,4.3,625,625,-,680,-55,-8.08824,"1,156","1,156",-
3,29_Nara-ken,29453,2000,29_Nara-ken,29453,2645_Higashiyoshino-mura,"1,502",703,799,"1,745",-243,-13.92550,87.98498,131.65,11.4,762,760,2,830,-68,-8.19277,"1,502","1,471",31
a,30_Wakayama-ken,30000,2000,30_Wakayama-ken,30000,2646_Wakayama-ken,"922,584","435,051","487,533","963,579","-40,995",-4.25445,89.23519,"4,724.65",195.3,"394,483","393,489",994,"392,332","2,151",0.54826,"922,584","896,425","26,159"
2,30_Wakayama-ken,30201,2000,30_Wakayama-ken,30201,2647_Wakayama-shi,"356,729","167,947","188,782","364,154","-7,425",-2.03897,88.96346,208.85,"1,708.1","157,666","157,310",356,"153,089","4,577",2.98976,"356,729","347,360","9,369"
2,30_Wakayama-ken,30202,,30_Wakayama-ken,30202,2648_Kainan-shi,"48,369","22,548","25,821","51,860","-3,491",-6.73159,87.32427,101.06,478.6,"20,088","20,039",49,"20,678",-590,-2.85327,"48,369","47,259","1,110"
9,30_Wakayama-ken,30202,2000,30_Wakayama-ken,30202,2649_(Municipalities as of 2000) Kainan-shi,"37,863","17,624","20,239","40,118","-2,255",-5.62092,87.07940,61.35,617.2,"16,005","15,965",40,"16,410",-405,-2.46801,"37,863","37,021",842
9,30_Wakayama-ken,30301,2000,30_Wakayama-ken,30202,2650_(Municipalities as of 2000) Shimotsu-cho,"10,506","4,924","5,582","11,742","-1,236",-10.52632,88.21211,39.83,263.8,"4,083","4,074",9,"4,268",-185,-4.33458,"10,506","10,238",268
2,30_Wakayama-ken,30203,,30_Wakayama-ken,30203,2651_Hashimoto-shi,"60,818","28,621","32,197","63,621","-2,803",-4.40578,88.89338,130.55,465.9,"24,028","23,975",53,"23,653",375,1.58542,"60,818","59,098","1,720"
9,30_Wakayama-ken,30203,2000,30_Wakayama-ken,30203,2652_(Municipalities as of 2000) Hashimoto-shi,"48,518","22,934","25,584","50,543","-2,025",-4.00649,89.64196,110.18,440.4,"18,902","18,857",45,"18,446",456,2.47208,"48,518","47,078","1,440"
9,30_Wakayama-ken,30342,2000,30_Wakayama-ken,30203,2653_(Municipalities as of 2000) Koyaguchi-cho,"12,300","5,687","6,613","13,078",-778,-5.94892,85.99728,20.06,613.2,"5,126","5,118",8,"5,207",-81,-1.55560,"12,300","12,020",280
2,30_Wakayama-ken,30204,2000,30_Wakayama-ken,30204,2654_Arida-shi,"26,538","12,576","13,962","28,470","-1,932",-6.78609,90.07306,36.83,720.6,"10,270","10,250",20,"10,576",-306,-2.89334,"26,538","25,968",570
2,30_Wakayama-ken,30205,2000,30_Wakayama-ken,30205,2655_Gobo-shi,"23,481","11,404","12,077","24,801","-1,320",-5.32237,94.42742,43.91,534.8,"10,123","10,076",47,"9,913",210,2.11843,"23,481","22,539",942
2,30_Wakayama-ken,30206,,30_Wakayama-ken,30206,2656_Tanabe-shi,"69,870","32,790","37,080","74,770","-4,900",-6.55343,88.43042,"1,026.91",68.0,"31,215","31,114",101,"32,163",-948,-2.94749,"69,870","67,879","1,991"
9,30_Wakayama-ken,30206,2000,30_Wakayama-ken,30206,2657_(Municipalities as of 2000) Tanabe-shi,"59,873","28,030","31,843","63,264","-3,391",-5.36008,88.02563,136.42,438.9,"26,527","26,465",62,"26,990",-463,-1.71545,"59,873","58,417","1,456"
9,30_Wakayama-ken,30387,2000,30_Wakayama-ken,30206,2658_(Municipalities as of 2000) Ryujin-mura,"2,751","1,306","1,445","3,252",-501,-15.40590,90.38062,255.13,10.8,"1,279","1,274",5,"1,423",-144,-10.11947,"2,751","2,673",78
9,30_Wakayama-ken,30402,2000,30_Wakayama-ken,30206,2659_(Municipalities as of 2000) Nakahechi-cho,"2,420","1,158","1,262","2,746",-326,-11.87181,91.75911,211.95,11.4,"1,152","1,142",10,"1,277",-125,-9.78857,"2,420","2,280",140
9,30_Wakayama-ken,30403,2000,30_Wakayama-ken,30206,2660_(Municipalities as of 2000) Oto-mura,"2,378","1,152","1,226","2,701",-323,-11.95853,93.96411,219.06,10.9,"1,007",991,16,"1,102",-95,-8.62069,"2,378","2,148",230
9,30_Wakayama-ken,30426,2000,30_Wakayama-ken,30206,2661_(Municipalities as of 2000) Hongu-cho,"2,448","1,144","1,304","2,807",-359,-12.78945,87.73006,204.06,12.0,"1,250","1,242",8,"1,371",-121,-8.82567,"2,448","2,361",87
2,30_Wakayama-ken,30207,,30_Wakayama-ken,30207,2662_Shingu-shi,"27,171","12,610","14,561","29,331","-2,160",-7.36422,86.60119,255.23,106.5,"13,123","13,075",48,"13,617",-494,-3.62782,"27,171","26,166","1,005"
9,30_Wakayama-ken,30207,2000,30_Wakayama-ken,30207,2663_(Municipalities as of 2000) Shingu-shi,"26,044","12,061","13,983","28,012","-1,968",-7.02556,86.25474,79.66,326.9,"12,590","12,551",39,"12,988",-398,-3.06437,"26,044","25,164",880
9,30_Wakayama-ken,30425,2000,30_Wakayama-ken,30207,2664_(Municipalities as of 2000) Kumanogawa-cho,"1,127",549,578,"1,319",-192,-14.55648,94.98270,175.47,6.4,533,524,9,629,-96,-15.26232,"1,127","1,002",125
2,30_Wakayama-ken,30208,,30_Wakayama-ken,30208,2665_Kinokawa-shi,"58,816","27,815","31,001","62,616","-3,800",-6.06874,89.72291,228.21,257.7,"23,351","23,316",35,"23,457",-106,-0.45189,"58,816","57,761","1,055"
9,30_Wakayama-ken,30321,2000,30_Wakayama-ken,30208,2666_(Municipalities as of 2000) Uchita-cho,"15,531","7,399","8,132","15,608",-77,-0.49334,90.98623,48.45,320.6,"6,263","6,253",10,"6,064",199,3.28166,"15,531","15,182",349
9,30_Wakayama-ken,30322,2000,30_Wakayama-ken,30208,2667_(Municipalities as of 2000) Kokawa-cho,"11,723","5,470","6,253","13,031","-1,308",-10.03760,87.47801,77.73,150.8,"4,563","4,554",9,"4,663",-100,-2.14454,"11,723","11,437",286
9,30_Wakayama-ken,30323,2000,30_Wakayama-ken,30208,2668_(Municipalities as of 2000) Naga-cho,"6,450","3,015","3,435","7,091",-641,-9.03963,87.77293,28.12,229.4,"2,611","2,609",2,"2,679",-68,-2.53826,"6,450","6,371",79
9,30_Wakayama-ken,30324,2000,30_Wakayama-ken,30208,2669_(Municipalities as of 2000) Momoyama-cho,"6,591","3,091","3,500","7,181",-590,-8.21613,88.31429,51.75,127.4,"2,525","2,518",7,"2,645",-120,-4.53686,"6,591","6,387",204
9,30_Wakayama-ken,30325,2000,30_Wakayama-ken,30208,2670_(Municipalities as of 2000) Kishigawa-cho,"18,521","8,840","9,681","19,705","-1,184",-6.00863,91.31288,22.49,823.5,"7,389","7,382",7,"7,406",-17,-0.22954,"18,521","18,384",137
2,30_Wakayama-ken,30326,,30_Wakayama-ken,30209,2671_Iwade-shi,"53,967","25,969","27,998","53,452",515,0.96348,92.75305,38.51,"1,401.4","21,999","21,965",34,"20,774","1,225",5.89679,"53,967","52,701","1,266"
9,30_Wakayama-ken,30326,2000,30_Wakayama-ken,30209,2672_(Municipalities as of 2000) Iwade-cho,"53,967","25,969","27,998","53,452",515,0.96348,92.75305,38.50,"1,401.7","21,999","21,965",34,"20,774","1,225",5.89679,"53,967","52,701","1,266"
3,30_Wakayama-ken,30304,,30_Wakayama-ken,30304,2673_Kimino-cho,"8,256","3,796","4,460","9,206",-950,-10.31936,85.11211,128.34,64.3,"3,474","3,465",9,"3,762",-288,-7.65550,"8,256","7,814",442
9,30_Wakayama-ken,30302,2000,30_Wakayama-ken,30304,2674_(Municipalities as of 2000) Nokami-cho,"5,795","2,663","3,132","6,399",-604,-9.43897,85.02554,38.56,150.3,"2,351","2,346",5,"2,499",-148,-5.92237,"5,795","5,475",320
9,30_Wakayama-ken,30303,2000,30_Wakayama-ken,30304,2675_(Municipalities as of 2000) Misato-cho,"2,461","1,133","1,328","2,807",-346,-12.32633,85.31627,89.45,27.5,"1,123","1,119",4,"1,263",-140,-11.08472,"2,461","2,339",122
3,30_Wakayama-ken,30341,,30_Wakayama-ken,30341,2676_Katsuragi-cho,"15,967","7,428","8,539","16,992","-1,025",-6.03225,86.98911,151.69,105.3,"6,223","6,210",13,"6,315",-92,-1.45685,"15,967","15,405",562
9,30_Wakayama-ken,30341,2000,30_Wakayama-ken,30341,2677_(Municipalities as of 2000) Katsuragi-cho,"15,721","7,319","8,402","16,685",-964,-5.77764,87.11021,104.29,150.7,"6,085","6,073",12,"6,148",-63,-1.02472,"15,721","15,163",558
9,30_Wakayama-ken,30345,2000,30_Wakayama-ken,30341,2678_(Municipalities as of 2000) Hanazono-mura,246,109,137,307,-61,-19.86971,79.56204,47.44,5.2,138,137,1,167,-29,-17.36527,246,242,4
3,30_Wakayama-ken,30343,2000,30_Wakayama-ken,30343,2679_Kudoyama-cho,"3,856","1,782","2,074","4,377",-521,-11.90313,85.92093,44.15,87.3,"1,528","1,524",4,"1,649",-121,-7.33778,"3,856","3,715",141
3,30_Wakayama-ken,30344,2000,30_Wakayama-ken,30344,2680_Koya-cho,"2,970","1,499","1,471","3,352",-382,-11.39618,101.90347,137.03,21.7,"1,408","1,402",6,"1,468",-60,-4.08719,"2,970","2,810",160
3,30_Wakayama-ken,30361,2000,30_Wakayama-ken,30361,2681_Yuasa-cho,"11,122","5,196","5,926","12,200","-1,078",-8.83607,87.68140,20.79,535.0,"4,599","4,591",8,"4,755",-156,-3.28076,"11,122","10,817",305
3,30_Wakayama-ken,30362,2000,30_Wakayama-ken,30362,2682_Hirogawa-cho,"6,781","3,195","3,586","7,224",-443,-6.13234,89.09649,65.33,103.8,"2,481","2,476",5,"2,503",-22,-0.87895,"6,781","6,569",212
3,30_Wakayama-ken,30366,,30_Wakayama-ken,30366,2683_Aridagawa-cho,"25,258","11,953","13,305","26,361","-1,103",-4.18421,89.83841,351.84,71.8,"9,506","9,480",26,"9,426",80,0.84872,"25,258","24,517",741
9,30_Wakayama-ken,30363,2000,30_Wakayama-ken,30366,2684_(Municipalities as of 2000) Kibi-cho,"16,199","7,762","8,437","15,779",420,2.66177,91.99953,36.37,445.4,"5,673","5,652",21,"5,272",401,7.60622,"16,199","15,694",505
9,30_Wakayama-ken,30364,2000,30_Wakayama-ken,30366,2685_(Municipalities as of 2000) Kanaya-cho,"6,530","3,033","3,497","7,457",-927,-12.43127,86.73148,119.44,54.7,"2,548","2,544",4,"2,682",-134,-4.99627,"6,530","6,347",183
9,30_Wakayama-ken,30365,2000,30_Wakayama-ken,30366,2686_(Municipalities as of 2000) Shimizu-cho,"2,529","1,158","1,371","3,125",-596,-19.07200,84.46389,195.96,12.9,"1,285","1,284",1,"1,472",-187,-12.70380,"2,529","2,476",53
3,30_Wakayama-ken,30381,2000,30_Wakayama-ken,30381,2687_Mihama-cho,"6,867","3,217","3,650","7,480",-613,-8.19519,88.13699,12.77,537.7,"2,863","2,852",11,"2,964",-101,-3.40756,"6,867","6,383",484
3,30_Wakayama-ken,30382,2000,30_Wakayama-ken,30382,2688_Hidaka-cho,"7,673","3,657","4,016","7,641",32,0.41879,91.06076,46.19,166.1,"2,896","2,892",4,"2,782",114,4.09777,"7,673","7,509",164
3,30_Wakayama-ken,30383,2000,30_Wakayama-ken,30383,2689_Yura-cho,"5,364","2,685","2,679","5,837",-473,-8.10348,100.22396,30.94,173.4,"2,261","2,248",13,"2,223",38,1.70940,"5,364","5,080",284
3,30_Wakayama-ken,30390,2000,30_Wakayama-ken,30390,2690_Inami-cho,"7,720","3,660","4,060","8,068",-348,-4.31334,90.14778,113.62,67.9,"2,993","2,990",3,"2,918",75,2.57025,"7,720","7,630",90
3,30_Wakayama-ken,30391,,30_Wakayama-ken,30391,2691_Minabe-cho,"11,818","5,608","6,210","12,742",-924,-7.25161,90.30596,120.28,98.3,"4,277","4,268",9,"4,421",-144,-3.25718,"11,818","11,613",205
9,30_Wakayama-ken,30388,2000,30_Wakayama-ken,30391,2692_(Municipalities as of 2000) Minabegawa-mura,"4,949","2,359","2,590","5,396",-447,-8.28391,91.08108,94.18,52.5,"1,578","1,576",2,"1,625",-47,-2.89231,"4,949","4,886",63
9,30_Wakayama-ken,30389,2000,30_Wakayama-ken,30391,2693_(Municipalities as of 2000) Minabe-cho,"6,869","3,249","3,620","7,346",-477,-6.49333,89.75138,26.08,263.4,"2,699","2,692",7,"2,796",-97,-3.46924,"6,869","6,727",142
3,30_Wakayama-ken,30392,,30_Wakayama-ken,30392,2694_Hidakagawa-cho,"9,219","4,449","4,770","9,776",-557,-5.69763,93.27044,331.59,27.8,"3,592","3,585",7,"3,650",-58,-1.58904,"9,219","8,758",461
9,30_Wakayama-ken,30384,2000,30_Wakayama-ken,30392,2695_(Municipalities as of 2000) Kawabe-cho,"6,145","2,996","3,149","6,243",-98,-1.56976,95.14131,75.97,80.9,"2,248","2,244",4,"2,178",70,3.21396,"6,145","5,883",262
9,30_Wakayama-ken,30385,2000,30_Wakayama-ken,30392,2696_(Municipalities as of 2000) Nakatsu-mura,"1,723",827,896,"1,935",-212,-10.95607,92.29911,87.02,19.8,700,698,2,748,-48,-6.41711,"1,723","1,592",131
9,30_Wakayama-ken,30386,2000,30_Wakayama-ken,30392,2697_(Municipalities as of 2000) Miyama-mura,"1,351",626,725,"1,598",-247,-15.45682,86.34483,168.62,8.0,644,643,1,724,-80,-11.04972,"1,351","1,283",68
3,30_Wakayama-ken,30401,,30_Wakayama-ken,30401,2698_Shirahama-cho,"20,262","9,440","10,822","21,533","-1,271",-5.90257,87.22972,200.98,100.8,"9,382","9,346",36,"9,538",-156,-1.63556,"20,262","19,219","1,043"
9,30_Wakayama-ken,30401,2000,30_Wakayama-ken,30401,2699_(Municipalities as of 2000) Shirahama-cho,"17,337","8,072","9,265","18,123",-786,-4.33703,87.12358,64.71,267.9,"8,012","7,982",30,"8,027",-15,-0.18687,"17,337","16,476",861
9,30_Wakayama-ken,30405,2000,30_Wakayama-ken,30401,2700_(Municipalities as of 2000) Hikigawa-cho,"2,925","1,368","1,557","3,410",-485,-14.22287,87.86127,136.31,21.5,"1,370","1,364",6,"1,511",-141,-9.33157,"2,925","2,743",182
3,30_Wakayama-ken,30404,2000,30_Wakayama-ken,30404,2701_Kamitonda-cho,"15,236","7,246","7,990","14,989",247,1.64788,90.68836,57.37,265.6,"6,368","6,349",19,"6,017",351,5.83347,"15,236","14,778",458
3,30_Wakayama-ken,30406,2000,30_Wakayama-ken,30406,2702_Susami-cho,"3,685","1,747","1,938","4,127",-442,-10.70996,90.14448,174.45,21.1,"1,790","1,786",4,"1,927",-137,-7.10950,"3,685","3,545",140
3,30_Wakayama-ken,30421,2000,30_Wakayama-ken,30421,2703_Nachikatsuura-cho,"14,137","6,531","7,606","15,682","-1,545",-9.85206,85.86642,183.31,77.1,"6,795","6,775",20,"7,296",-501,-6.86678,"14,137","13,777",360
3,30_Wakayama-ken,30422,2000,30_Wakayama-ken,30422,2704_Taiji-cho,"2,791","1,229","1,562","3,087",-296,-9.58860,78.68118,5.81,480.4,"1,315","1,310",5,"1,384",-69,-4.98555,"2,791","2,627",164
3,30_Wakayama-ken,30424,2000,30_Wakayama-ken,30424,2705_Kozagawa-cho,"2,480","1,130","1,350","2,826",-346,-12.24345,83.70370,294.23,8.4,"1,248","1,244",4,"1,378",-130,-9.43396,"2,480","2,344",136
3,30_Wakayama-ken,30427,2000,30_Wakayama-ken,30427,2706_Kitayama-mura,404,183,221,446,-42,-9.41704,82.80543,48.20,8.4,223,222,1,239,-16,-6.69456,404,391,13
3,30_Wakayama-ken,30407,,30_Wakayama-ken,30428,2707_Kushimoto-cho,"14,959","7,140","7,819","16,558","-1,599",-9.65696,91.31603,135.67,110.3,"7,398","7,354",44,"7,797",-399,-5.11735,"14,959","14,393",566
9,30_Wakayama-ken,30407,2000,30_Wakayama-ken,30428,2708_(Municipalities as of 2000) Kushimoto-cho,"11,142","5,353","5,789","12,235","-1,093",-8.93339,92.46847,89.77,124.1,"5,532","5,491",41,"5,732",-200,-3.48918,"11,142","10,656",486
9,30_Wakayama-ken,30423,2000,30_Wakayama-ken,30428,2709_(Municipalities as of 2000) Koza-cho,"3,817","1,787","2,030","4,323",-506,-11.70483,88.02956,46.01,83.0,"1,866","1,863",3,"2,065",-199,-9.63680,"3,817","3,737",80
